candidate_id,author_or_tradition,work_or_cluster,approx_date,original_language,tradition,why_candidate,lead_source,status
CND-001,Plato,Republic Book 8 nuptial number,4th c BCE,Greek,Platonic,Extended numerical cosmology tied to generation and political decline,Pasted synthesis and Perseus,known passage
CND-002,Plato,Timaeus,4th c BCE,Greek,Platonic,Mathematical generation harmony and cosmic structure,Perseus and arithmology bibliography,seed lead
CND-003,Aristotle,Metaphysics reports on Pythagoreans,4th c BCE,Greek,Peripatetic,Reports ethical and cosmological number-property doctrines,Perseus and Robbins,seed lead
CND-004,Speusippus,Fragments on Pythagorean numbers,4th c BCE,Greek,Old Academy,Early qualitative number doctrine preserved fragmentarily,Robbins and Kalvesmaki,seed lead
CND-005,Plutarch,The E at Delphi,1st-2nd c CE,Greek,Middle Platonic,Qualitative and theological interpretation of five and related structures,Perseus and arithmology bibliography,high-confidence lead
CND-006,Plutarch,Table Talk and related essays,1st-2nd c CE,Greek,Middle Platonic,Embedded arithmological and harmonic digressions,Perseus and Robbins,seed lead
CND-007,Nicomachus of Gerasa,Introduction to Arithmetic,2nd c CE,Greek,Neo-Pythagorean,Qualitative classification and ontological treatment of number,First1KGreek and public-domain Robbins translation,core work
CND-008,Theon of Smyrna,Mathematics Useful for Reading Plato,2nd c CE,Greek,Middle Platonic,Arithmetic music and cosmological correspondences,First1KGreek and archive editions,core work
CND-009,Pseudo-Iamblichus or Anatolius,Theologumena arithmeticae,3rd-4th c CE,Greek,Neo-Pythagorean,Longest surviving ancient work organized around qualities of one through ten,First1KGreek or PG plus modern edition,core work
CND-010,Iamblichus,On the Pythagorean Way of Life and related mathematical works,3rd-4th c CE,Greek,Neoplatonic and Pythagorean,Reports and systematizes Pythagorean numerical doctrines,First1KGreek and PTA,high-confidence lead
CND-011,Philo of Alexandria,On the Creation,1st c CE,Greek,Hellenistic Jewish,Large arithmological expositions of creation numbers especially six and seven,Perseus First1KGreek and public-domain translations,core work
CND-012,Philo of Alexandria,Allegorical Interpretation,1st c CE,Greek,Hellenistic Jewish,Numerical scriptural exegesis across multiple books,Perseus First1KGreek and translations,core work
CND-013,Philo of Alexandria,Decalogue and Special Laws,1st c CE,Greek,Hellenistic Jewish,Qualitative treatment of ten and scriptural number structures,Perseus First1KGreek and translations,core work
CND-014,Epistle of Barnabas,Letter of Barnabas,late 1st-2nd c CE,Greek,Early Christian,Letter-number and scriptural numerical exegesis,Perseus PTA and patristic translations,known passage
CND-015,Valentinian traditions,Fragments and reports of Valentinian systems,2nd c CE,Greek,Gnosticizing Christian,Numerical structures describe divine realms and scripture,Kalvesmaki and heresiological sources,core cluster
CND-016,Marcus Magus,Teachings preserved in heresiologists,2nd c CE,Greek,Gnosticizing Christian,Extensive letter-number and arithmological theology,Kalvesmaki Irenaeus and Hippolytus,core cluster
CND-017,Monoimus and related Apophasis tradition,Fragments in Hippolytus,2nd-3rd c CE,Greek,Gnosticizing Christian,Numerical diagrams and metaphysical arithmetic,Kalvesmaki and Hippolytus,high-confidence lead
CND-018,Irenaeus of Lyons,Against Heresies Books 1-2,2nd c CE,Greek surviving largely in Latin,Patristic heresiology,Reports and critiques rival numerical systems while developing counter-arguments,PTA PG Corpus Corporum and translations,core work
CND-019,Clement of Alexandria,Stromata,2nd-3rd c CE,Greek,Alexandrian Christian,Extensive engagement with Philo Pythagoreanism and numerical exegesis,First1KGreek PTA PG and translations,core work
CND-020,Hippolytus of Rome,Refutation of All Heresies,3rd c CE,Greek,Patristic heresiology,Preserves Pythagorean Gnostic and Christian numerical systems,First1KGreek PTA PG and translations,core work
CND-021,Origen,Homilies and commentaries,3rd c CE,Greek and Latin transmission,Alexandrian Christian,Repeated scriptural number interpretation across exegetical contexts,PTA PG Corpus Corporum and translations,core cluster
CND-022,Sibylline Oracles,Christian and Jewish numerical passages,2nd c BCE-7th c CE,Greek,Jewish and Christian oracle,Isopsephy and number symbolism,First1KGreek PTA and Kalvesmaki,high-confidence lead
CND-023,Anatolius of Laodicea,Mathematical fragments,3rd c CE,Greek,Christian mathematical,Arithmetic and number theology fragments,PTA PG and First1KGreek,high-confidence lead
CND-024,Evagrius Ponticus,Exegetical and ascetic works,4th c CE,Greek and Syriac,Christian ascetic,Documented cryptic qualitative numerical explanations,PTA PG and Kalvesmaki,high-confidence lead
CND-025,Basil of Caesarea,Hexaemeron,4th c CE,Greek,Cappadocian Christian,Creation-number interpretation and cosmological ordering,PTA PG and translations,high-confidence lead
CND-026,Gregory of Nyssa,On the Making of Man and exegetical works,4th c CE,Greek,Cappadocian Christian,Mathematical cosmology and ordered-sequence interpretation,PTA PG and translations,seed lead
CND-027,Ambrose of Milan,Hexaemeron,4th c CE,Latin,Latin Christian,Latin reception of creation-number exegesis,Corpus Corporum PL and translations,high-confidence lead
CND-028,Jerome,Biblical commentaries and letters,4th-5th c CE,Latin,Latin Christian,Scriptural numerical and letter-number exegesis,Corpus Corporum PL and translations,high-confidence lead
CND-029,Augustine of Hippo,Literal Meaning of Genesis,4th-5th c CE,Latin,Latin Christian,Creation arithmetic including six as intrinsically perfect,Corpus Corporum PL and translations,core work
CND-030,Augustine of Hippo,City of God,5th c CE,Latin,Latin Christian,Multiple extended explanations of perfect and symbolic numbers,Corpus Corporum PL and translations,core work
CND-031,Augustine of Hippo,On the Trinity On Music On Order and Psalm expositions,4th-5th c CE,Latin,Latin Christian,Qualitative number harmony and repeated exegetical number arguments,Corpus Corporum PL and translations,core cluster
CND-032,Boethius,De institutione arithmetica,6th c CE,Latin,Latin Christian and Neoplatonic,Major Latin transmission of Nicomachean qualitative arithmetic,Corpus Corporum and public-domain editions,core work
CND-033,Cassiodorus,Exposition of the Psalms and Institutions,6th c CE,Latin,Latin Christian,Number exegesis and pedagogical transmission,Corpus Corporum PL and openMGH,high-confidence lead
CND-034,Isidore of Seville,Liber numerorum qui in sanctis Scripturis occurrunt,7th c CE,Latin,Latin Christian,Standalone treatise on mathematical and spiritual qualities of scriptural numbers,Corpus Corporum PL and editions,core work
CND-035,Isidore of Seville,Etymologies Book 3 and related works,7th c CE,Latin,Latin Christian encyclopedia,Arithmetic music astronomy and qualitative classifications,Corpus Corporum PL and open editions,core work
CND-036,Bede,On the Reckoning of Time and biblical commentaries,8th c CE,Latin,Insular Christian,Computus ordered time and scriptural number interpretation,Corpus Corporum openMGH and editions,high-confidence cluster
CND-037,Rabanus Maurus,De computo and De universo,9th c CE,Latin,Carolingian Christian,Encyclopedic and computistical transmission of number qualities,Corpus Corporum PL and openMGH,core cluster
CND-038,Hugh of Saint Victor,Didascalicon and exegetical works,12th c CE,Latin,Victorine Christian,Pedagogical and scriptural number systems influenced by Isidore,Corpus Corporum PL and editions,high-confidence cluster
CND-039,Bartholomaeus Anglicus,De proprietatibus rerum,13th c CE,Latin,Scholastic encyclopedia,Encyclopedic reception of numerical properties and cosmology,Corpus Corporum editions and scans,seed lead
CND-040,Sefer Yetzirah,Book of Formation,3rd-10th c CE dating disputed,Hebrew,Jewish mystical,Letters numbers creation and relational ordered structures,Sefaria and manuscript scholarship,core work
CND-041,Midrashic traditions,Midrash Rabbah Tanchuma and related collections,Late antique-medieval,Hebrew and Aramaic,Rabbinic Jewish,Scriptural number interpretation across commentary traditions,Sefaria Export,core cluster
CND-042,Sefer ha-Bahir,Bahir,12th c CE,Hebrew,Jewish mystical,Letter-number and sefirotic qualitative systems,Sefaria and editions,high-confidence lead
CND-043,Zohar,Zoharic corpus,13th c CE,Aramaic,Jewish mystical,Extensive qualitative number and ordered emanation symbolism,Sefaria Export and editions,core cluster
CND-044,Dante Alighieri,Convivio and Commedia,14th c CE,Italian and Latin context,Medieval Christian literary,Explicit number interpretation and large-scale numerical architecture,Public-domain editions and Hopper,high-confidence cluster
CND-045,Pistis Sophia,Pistis Sophia,3rd-4th c CE,Coptic from Greek tradition,Gnostic Christian,Extensive ordered aeonic structures and qualitative numerical systems,Coptic SCRIPTORIUM and editions,core work
CND-046,Ephrem and Syriac exegetical traditions,Biblical commentaries hymns and memre,4th c CE onward,Syriac,Syriac Christian,Potential number exegesis and ordered symbolic structures largely absent from Greek-Latin maps,Digital Syriac Corpus and Patrologia Orientalis,high-priority discovery cluster
CND-047,Islamicate Pythagorean reception,Epistles of the Brethren of Purity,10th c CE,Arabic,Islamicate philosophical,Arithmetic cosmology qualitative number doctrine and encyclopedic transmission,OpenITI and public editions,core work
CND-048,Arabic philosophical and mathematical traditions,Works of al-Kindi and related authors,9th c CE onward,Arabic,Islamicate philosophical,Pythagorean and Neoplatonic number doctrine transmitted and transformed in Arabic,OpenITI and secondary source maps,high-priority discovery cluster
CND-049,Quranic exegesis,Tafsir and mystical commentary traditions,8th c CE onward,Arabic,Islamicate exegetical,Qualitative interpretation of scriptural counts letters and ordered structures,OpenITI Corpus Coranicum and scans,high-priority discovery cluster
CND-050,Patrologia Orientalis traditions,Eastern Christian exegetical and cosmological works,Late antique-medieval,Syriac Armenian Arabic Coptic Georgian Ge'ez,Eastern Christian,Potentially major non-Greek and non-Latin number traditions hidden by ordinary corpus availability,Patrologia Orientalis GREgORI and language corpora,high-priority discovery cluster
CND-051,John Climacus,Scala paradisi or Ladder of Divine Ascent,7th c CE,Greek with Arabic Latin Syriac and other transmissions,Eastern Christian mystical,Thirty-step ascetical structure with embedded qualitative number interpretation and extensive reception,PG 88 BiblIndex manuscripts and modern translations,core work
CND-052,Christian mystical traditions,Visionary ascetical and contemplative works,Medieval-early modern,Latin Greek vernacular and Eastern Christian languages,Christian mystical,Numbered stages visions architectures virtues vices and ordered spiritual ascent may preserve distinct qualitative number habits,CatholicCorpus CCEL PG PL and author-specific corpora,high-priority discovery cluster
CND-053,Thabit ibn Qurra,Arabic translation of Nicomachus Introduction to Arithmetic,9th c CE,Arabic from Greek,Abbasid mathematical translation,Direct machine-readable transmission witness for Nicomachean and Pythagorean qualitative arithmetic,OpenITI 2025.1.9 version 0288ThabitIbnQurra.MadkhalLiNiqumakhus.GRAR000060-ara1,core work
