source_id,name,url,coverage,languages,content_type,access_mode,bulk_access,format,rights_or_constraints,priority,status,next_action
SRC-001,Perseus Canonical Greek Literature,https://github.com/PerseusDL/canonical-greekLit,Canonical ancient Greek literature,Ancient Greek and some translations,Edition texts,public repository,git clone,TEI XML,"Generally CC BY-SA 4.0; inspect individual headers",highest,verified,clone and inventory authors works editions
SRC-002,Perseus Canonical Latin Literature,https://github.com/PerseusDL/canonical-latinLit,Canonical Latin literature,Latin and some translations,Edition texts,public repository,git clone,TEI XML,"Generally CC BY-SA 4.0; inspect individual headers",highest,verified,clone and inventory authors works editions
SRC-003,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek,Greek works from Homer through roughly 250 CE with emphasis beyond Perseus,Ancient Greek,Edition texts,public repository,git clone,CTS-compliant TEI XML,CC-licensed collection with edition-level metadata,highest,verified,clone and inventory likely arithmological authors
SRC-004,Opera Graeca Adnotata,https://github.com/OperaGraecaAdnotata/OGA,Annotated aggregation of Perseus and Open Greek and Latin,Ancient Greek,Linguistically annotated corpus,public repository or release,repository or release download,CoNLL-U and CTS-aligned data,Open-access derived corpus; verify release license,high,lead verified,locate current release and compare coverage with source repos
SRC-005,Patristic Text Archive,https://github.com/PatristicTextArchive/pta_data,Open ancient Christian texts,Greek Latin Syriac Armenian Georgian Coptic and others,Edition texts and translations,public Git repository plus CTS API and Zenodo snapshots,git clone or versioned Zenodo release,CTS-aligned TEI P5,Open access with item-level CC licenses and some exceptions,highest,acquired,inventory 1253 XML files and overlap with existing Greek and Latin shelves; local commit 524eb9763b1181bc9f14edf52943bfe2f7a43aed
SRC-006,Patrologia Graeca OCR Corpus,https://zenodo.org/records/19915273,OCR of previously non-digital Patrologia Graeca materials,Ancient and Byzantine Greek,Lemmatized OCR corpus,public dataset,103.1 MB ZIP and GitHub raw data,Sketch Engine XML with linguistic markup,CC BY 4.0,highest,verified,download Zenodo v3 and record checksum
SRC-007,Corpus Corporum,https://mlat.uzh.ch/,Large Latin meta-repository from antiquity through early modernity,Latin,Edition and repository texts,open searchable repository,per-text TEI download where provider allows,TEI-like XML,Noncommercial reuse; provider restrictions vary,highest,verified,export corpus catalog and identify bulk-download route
SRC-008,openMGH,https://www.mgh.de/en/digital-mgh/openmgh,Medieval Latin editions in Monumenta Germaniae Historica,Latin,Edition texts,open repository,per-volume TEI downloads,TEI P5,CC BY 4.0,high,verified,download catalog and all available TEI volumes
SRC-009,Sefaria Export,https://github.com/Sefaria/Sefaria-Export,Structured Jewish textual library including biblical rabbinic philosophical mystical and commentary traditions,Hebrew Aramaic English and others,Texts metadata and intertext links,public object storage,"26 GB all-format export or one-format acquisition via books.json",JSON TXT CLTK and CSV,Version-level rights vary and must be preserved per edition,highest,acquired,all 26322 planned JSON objects validated with zero missing or failed; 19705 text versions plus 6595 schemas and 22 link or metadata objects; rights retained per version in corpus_manifest.csv
SRC-010,Coptic SCRIPTORIUM Corpora,https://github.com/CopticScriptorium/corpora,Coptic literary and documentary corpora including Christian materials,Coptic and translations,Edition texts and linguistic annotations,public repository with Zenodo-archived releases,release archive or git clone,TEI XML CoNLL-U PAULA relANNIS and TreeTagger SGML,Mostly CC BY 3.0 or 4.0 with documented collection-level exceptions,high,acquired,inventory 1458 XML and 1717 CoNLL-U files and deduplicate parallel representations and witnesses; local commit d6332e37c7f92c737f51deb4f6e7ee872bfd603f
SRC-011,Internet Archive Texts,https://archive.org/developers/,Public-domain scans editions translations and OCR,Multilingual,Scans OCR and ebooks,public APIs,Advanced Search API and item downloads,PDF EPUB DjVu OCR XML TXT and metadata,Rights vary by item; restrict acquisition to downloadable lawful items,highest,verified,build metadata searches for editions authors and number-symbolism bibliographies
SRC-012,HathiTrust Research Center,https://htrc.atlassian.net/wiki/spaces/COM/pages/43293057/HTRC+data+access,Millions of digitized volumes including public-domain editions,Multilingual,OCR derived features metadata and restricted full text,mixed public and institutional,worksets extracted features and approved public-domain text datasets,JSON-LD bags of words or OCR text by access route,Public-domain access varies by institution and digitization source,medium,verified,use bibliographic API and Shay library access for targeted gaps
SRC-013,Christian Classics Ethereal Library,https://www.ccel.org/,Public-domain Christian classics and translations,Primarily English with some source languages,Transcriptions and formatted books,public web and account downloads,section HTML or book downloads,HTML XML PDF and others,Underlying works often public domain but CCEL formatting has constraints,high,verified,inventory fathers and use only permitted download routes
SRC-014,New Advent Fathers,https://www.newadvent.org/fathers/,Large collection of public-domain English patristic translations,English,Web transcriptions,public web,site pages,HTML,"Underlying translations often public domain; site revision and formatting copyright",medium,verified,use for discovery and citation leads rather than bulk republication
SRC-015,Project Gutenberg,https://www.gutenberg.org/,Public-domain books and translations,Multilingual,Transcriptions and ebooks,public repository,bulk catalogs and per-book downloads,TXT EPUB HTML RDF,Public domain in the United States with item notes,medium,verified,search catalog for authors works and older number-symbolism studies
SRC-016,Wikisource,https://wikisource.org/,Community transcriptions of public-domain works,Multilingual,Transcriptions,public wiki,API and dumps,Wikitext XML HTML and export formats,Item and project licenses vary but usually CC BY-SA plus public-domain source,medium,verified,search language editions and use provenance checks
SRC-017,Clavis Clavium,https://clavis.brepols.net/clacla/Default.aspx,Catalog of late-antique and medieval Christian works across major claves,Multilingual metadata,Authority and work catalog,open catalog,export or API to be resolved,Structured web database,Open access metadata; not a full-text corpus,highest,verified,use to measure missing works and normalize authors titles identifiers
SRC-018,Thesaurus Linguae Graecae,https://stephanus.tlg.uci.edu/,Very broad Greek literary corpus from antiquity through Byzantium,Greek,Full-text database,subscription,licensed search and institutional access,Proprietary database,Subscription and use restrictions,highest,library target,check Shay institutional access and document search/export permissions
SRC-019,Library of Latin Texts,https://about.brepolis.net/library-of-latin-texts/,Broad Latin corpus with critical editions,Latin,Full-text database,subscription,licensed search,Proprietary database,Subscription and use restrictions,highest,library target,check Shay institutional access and permitted research exports
SRC-020,Patrologia Latina Database,https://about.proquest.com/en/products-services/patrologia-latina/,Full electronic Patrologia Latina,Latin,Full-text database,subscription,licensed search,Proprietary database,Subscription and use restrictions,highest,library target,check library access and compare against Corpus Corporum coverage
SRC-021,Loeb Classical Library Digital,https://www.loebclassics.com/,Greek and Latin editions with English translations,Greek Latin English,Modern editions and translations,subscription,licensed reading and search,Proprietary web text,Copyright and platform restrictions,medium,library target,use for verification and translation gaps not bulk acquisition
SRC-022,Google Books,https://books.google.com/,Scanned editions studies and bibliographic discovery,Multilingual,Scans OCR snippets and metadata,mixed access,Books API and public-domain downloads where available,PDF EPUB OCR metadata,Rights and downloadability vary,medium,verified,use to locate editions then prefer downloadable stable copies
SRC-023,Gallica BnF,https://gallica.bnf.fr/,Public-domain editions manuscripts and scans,Multilingual,Scans OCR and metadata,public digital library,IIIF APIs and downloads,PDF ALTO OCR IIIF and metadata,Reuse terms apply by item,medium,verified,search French and continental editions missing from IA
SRC-024,Documenta Catholica Omnia,https://www.documentacatholicaomnia.eu/,Large mirror of ecclesiastical texts and Patrologia volumes,Greek Latin and translations,PDFs and transcriptions,public web,per-file download,PDF and text,Rights and provenance need item-level verification,medium,lead verified,use as gap locator and verify against authoritative editions
SRC-025,Corpus Thomisticum,https://www.corpusthomisticum.org/,Works of Thomas Aquinas and related attribution corpus,Latin,Searchable transcriptions and indices,public web,bulk route unresolved,HTML and internal text formats,Site text copyright and reuse terms require review,medium,verified,use for search and identify lawful acquisition route
SRC-026,Kalvesmaki Number Symbolism Bibliography,https://kalvesmaki.com/Arithmetic/Number%20Symbolism.htm,Secondary-source map for Mediterranean number symbolism before 1000,Multiple,Research bibliography,public web,single page,HTML,Copyrighted bibliography usable for research discovery,highest,verified,harvest citations into a lead table and trace every named primary source
SRC-027,Robbins Tradition of Greek Arithmology,https://www.journals.uchicago.edu/doi/10.1086/360217,Foundational source-mapping article for Greek arithmology,Greek sources discussed in English,Secondary scholarship with primary-source map,public article page,PDF access to be checked,PDF,1921 publication; platform terms apply,highest,verified,acquire lawful copy and extract all primary-source citations
SRC-028,Hopper Medieval Number Symbolism,https://books.google.com/books?id=78T8pEAwtpQC,Source-mapping monograph for medieval number symbolism,Western medieval sources discussed in English,Secondary scholarship and bibliography,mixed preview or library,library or public-domain edition search,Book scan or print,Modern reprint copyrighted; original edition status and access need checking,highest,library target,locate original edition or library copy and extract primary-source citations
SRC-029,OpenITI Corpus,https://zenodo.org/records/17767721,Machine-actionable Islamicate corpus; local 2025.1.9 release validates 14107 versions representing 9109 works,Primarily Arabic with Persian and related Islamicate languages,Edition and transcription texts,versioned Zenodo release plus active GitHub repositories,5.9 GB release ZIP plus metadata TSV,OpenITI mARkdown plus metadata,CC BY-NC-SA 4.0 with source-level quality and provenance variation,highest,acquired,all 14107 metadata versions resolve locally with zero missing; 9539 primary versions; archive MD5 verified; inventory in corpus_summary.json
SRC-030,Digital Syriac Corpus,https://syriaccorpus.org/,Open archive of Syriac literary texts,Syriac,Edition texts,public site and GitHub,git clone from srophe/syriac-corpus,TEI XML,CC BY 4.0,highest,verified,clone repository and inventory authors works and editions
SRC-031,ETCBC Syriac Corpus,https://zenodo.org/records/17911085,Syriac biblical corpus with linguistic structure,Syriac,Biblical text and annotations,public dataset,9.5 MB release ZIP,Text-Fabric dataset,Open dataset with release metadata,medium,verified,download as Syriac reference and ordered-sequence control corpus
SRC-032,CatholicCorpus,https://catholiccorpus.org/download/,Aggregated public Catholic intellectual tradition corpus including patristic scholastic and reference collections,Latin English Greek and others,Normalized text with provenance,public build scripts and downloads,collection scripts or roughly 35.9 GB full build,TXT plus source metadata,Source-level rights vary and must be preserved,high,verified,inspect manifest and use as coverage audit against direct-source acquisitions
SRC-033,Patrologia Orientalis scans and index,https://www.tertullian.org/fathers/patrologia_orientalis_toc.htm,Eastern Christian works in Syriac Armenian Arabic Coptic Georgian Ge'ez and other languages,Multiple Eastern Christian languages with translations,Edition scans and index,public index with many Archive.org links,per-volume scans,PDF and OCR where available,Older volumes often public domain; verify item rights,highest,verified,harvest complete table of contents and downloadable volume links
SRC-034,Corpus Coranicum TEI,https://github.com/telota/corpus-coranicum-tei,Quranic text history commentary and research data,Arabic and metadata,TEI research corpus,public repository,git clone,TEI XML,Open project export; verify repository license,medium,verified,clone for Quranic numerical structures and reception context
SRC-035,GREgORI Eastern Christian Corpus,https://www.gregoriproject.com/,Patristic and historical corpora in under-resourced Eastern Christian languages,Armenian Georgian Syriac Greek and others,OCR text and linguistic annotations,public search with dataset routes to resolve,project-specific downloads,Multiple formats,Rights vary by subcorpus,high,verified,resolve dataset endpoints and inventory Old Georgian Armenian and Syriac texts
SRC-036,TAN-Evagrius,https://github.com/Arithmeticus/TAN-Evagrius,Multilingual versions transcriptions and alignments of the works of Evagrius Ponticus,Greek Syriac Armenian Latin Arabic Georgian Ethiopic and others,Author-specific textual corpus,public repository,git clone,TAN XML,Transcription-level rights and source editions vary; preserve embedded provenance,highest,acquired,inventory works versions languages and transcription permissions
SRC-037,Wikimedia Commons Patrologia Graeca scans,https://commons.wikimedia.org/wiki/Category:Patrologia_Graeca,Public-domain Migne volumes including PG 88,Greek and Latin,Edition scans,public media repository,per-volume download,PDF and page images,Public-domain source scans with Wikimedia metadata,high,verified,use for missing PG scans and page-level citation verification
SRC-038,ETCBC BHSA,https://github.com/ETCBC/bhsa,Hebrew Bible with word-level linguistic annotations,Hebrew and Biblical Aramaic,Biblical text and morphology,public repository,git clone or Text-Fabric download,Text-Fabric,CC BY-NC 4.0 data with required attribution and separate software licensing,high,acquired,inventory 786 Text-Fabric feature files and select a frozen data version for Hebrew librarian infrastructure; local commit 4db00e2157915495e1a4d3d57e41223df24775da
SRC-039,Dicta Digital Library,https://library.dicta.org.il/,Digitized rabbinic and Hebrew religious books with search punctuation abbreviation expansion and citation tools,Hebrew and Aramaic,OCR transcriptions and research interface,public search and reading interface,bulk route and per-work reuse rights unresolved,web text and structured service responses to investigate,Free public-benefit access does not by itself establish bulk redistribution rights,high,verified,catalog holdings and resolve lawful data access before acquisition; use immediately as a gap-discovery reservoir
